CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
28665,51521,71820,31166,26883,59188,93287,26379,37659
28602,53122,74755,32330,26891,62063,97063,26554,38639
28848,53828,72568,31195,27261,60814,98296,27274,39922
30019,52789,68725,29252,28297,58167,94282,28643,39261
32855,50361,64452,26879,28919,54759,88338,28644,37669
33107,47175,60952,24700,28153,51723,81374,27437,35064
31773,44254,59284,23418,26681,49961,76861,25719,32841
29425,42906,58679,22723,24609,48943,73877,24166,31700
26909,42233,58831,22358,23031,48676,72481,23246,31012
25609,41952,60710,22580,22217,49348,72685,22698,30901
24929,42669,65448,23653,21942,51991,75332,22432,31463
24251,45152,74134,26536,21966,57411,82022,22574,33515
24059,49280,80302,29969,22752,63500,90286,23371,36596
24838,52709,80615,31630,24499,65937,94998,25135,38921
26592,53312,79567,32017,27454,66170,95971,27297,39477
29950,53414,79137,32112,30192,66648,96971,28372,40081
32547,53471,78589,32231,31157,66887,98601,28440,40615
33117,53566,78034,32185,30998,67018,99775,28531,40888
33583,53485,77681,32101,30788,66801,100675,28624,41030
33843,53441,76911,31971,30480,66299,101368,28608,41618
33758,53161,75914,31630,30187,65420,101368,28565,42029
33567,53034,75671,31460,29830,64770,101250,28468,42451
33631,53075,75782,31546,29466,64564,101213,28306,42902
33436,53044,76334,32015,29331,64579,101283,28281,43084
33072,53109,79094,33119,29426,65422,102261,28288,42866
32987,54460,80534,33875,30044,67543,104663,28615,43496
32912,55570,77249,32538,30632,66124,105055,29266,44663
33450,54515,71642,30100,31088,62548,99486,30227,43188
36012,51298,66118,27198,30854,57869,91808,30018,40702
35852,47517,61650,24704,29551,54265,83772,28630,37508
34165,44168,58825,23060,27560,51915,77350,26564,34710
31296,42131,57313,22070,25359,50280,73563,24653,33112
28543,41451,56564,21575,23734,49509,71671,23420,32182
26916,41294,57464,21608,22999,49886,71158,22768,31787
25809,41863,61383,22561,22618,52093,73170,22546,31962
25156,44212,69253,25255,22723,57158,79177,22652,33522
25119,48572,75085,28808,23397,63096,87201,23432,36116
25736,51871,75571,30754,25088,64703,92134,25261,38327
27581,52629,75644,31422,28009,64843,93582,27349,38893
30786,53030,76048,31771,30685,64981,95359,28252,40147
33175,53524,76234,32013,31740,65214,97341,28314,41612
33612,53938,76273,32072,31661,65157,99142,28326,42695
34217,54487,76400,32102,31523,65216,100758,28411,43330
