Counter,id,operational_status,capacity_mw,technology_description,OEO_region
2053,4793,existing,53.1,Natural Gas Fired Combined Cycle,N_CEN
2054,4794,existing,53.1,Natural Gas Fired Combined Cycle,N_CEN
2070,4811,existing,2.3,Petroleum Liquids,CA
2071,4812,existing,2.3,Petroleum Liquids,CA
2072,4813,existing,2.2,Petroleum Liquids,CA
2073,4814,existing,2.2,Petroleum Liquids,CA
2074,4815,existing,2.2,Petroleum Liquids,CA
2075,4816,existing,2.2,Petroleum Liquids,CA
2076,4817,existing,2.2,Petroleum Liquids,CA
2077,4818,existing,2.2,Petroleum Liquids,CA
2078,4819,existing,2.2,Petroleum Liquids,CA
2079,4820,existing,2.2,Petroleum Liquids,CA
2080,4821,existing,2.2,Petroleum Liquids,CA
2081,4822,existing,2.2,Petroleum Liquids,CA
2082,4823,existing,2.2,Petroleum Liquids,CA
2083,4824,existing,2.2,Petroleum Liquids,CA
2084,4825,existing,2.2,Petroleum Liquids,CA
2085,4826,existing,2.2,Petroleum Liquids,CA
2086,4827,existing,2.2,Petroleum Liquids,CA
2087,4828,existing,2.2,Petroleum Liquids,CA
2088,4829,existing,2.3,Petroleum Liquids,CA
2089,4830,existing,2.3,Petroleum Liquids,CA
2090,4831,existing,2.3,Petroleum Liquids,CA
2091,4832,existing,2.3,Petroleum Liquids,CA
2092,4833,existing,2.3,Petroleum Liquids,CA
2093,4834,existing,2.3,Petroleum Liquids,CA
2094,4835,existing,2.3,Petroleum Liquids,CA
2095,4836,existing,2.3,Petroleum Liquids,CA
2096,4837,existing,2.3,Petroleum Liquids,CA
2097,4838,existing,2.3,Petroleum Liquids,CA
2098,4839,existing,2.3,Petroleum Liquids,CA
2099,4840,existing,2.3,Petroleum Liquids,CA
2100,4841,existing,2.3,Petroleum Liquids,CA
2101,4842,existing,2.3,Petroleum Liquids,CA
2102,4843,existing,2.3,Petroleum Liquids,CA
2103,4844,existing,2.3,Petroleum Liquids,CA
2104,4845,existing,2.3,Petroleum Liquids,CA
2105,4846,existing,2.3,Petroleum Liquids,CA
2106,4847,existing,2.3,Petroleum Liquids,CA
2107,4848,existing,2.3,Petroleum Liquids,CA
2108,4849,existing,2.3,Petroleum Liquids,CA
2109,4850,existing,2.3,Petroleum Liquids,CA
2110,4851,existing,2.3,Petroleum Liquids,CA
2111,4864,existing,1,Other Waste Biomass,MID_AT
2122,4880,existing,3.8,Natural Gas Internal Combustion Engine,MID_AT
2124,4882,existing,3,Natural Gas Internal Combustion Engine,MID_AT
2132,4892,existing,9.2,Natural Gas Internal Combustion Engine,CEN
2133,4893,existing,9.2,Natural Gas Internal Combustion Engine,CEN
2134,4894,existing,9.2,Natural Gas Internal Combustion Engine,CEN
2160,4926,existing,1.1,Other Waste Biomass,MID_AT
2161,4927,existing,1.1,Other Waste Biomass,MID_AT
2174,4940,existing,4.7,Other Waste Biomass,MID_AT
2175,4941,existing,4.7,Other Waste Biomass,MID_AT
2176,4942,existing,4.7,Other Waste Biomass,MID_AT
2177,4943,existing,11,Other Waste Biomass,MID_AT
2179,4945,existing,1.6,Landfill Gas,NE
